feature,importance
k__bacteria.p__actinobacteria.c__actinobacteria.o__actinomycetales.f__actinomycetaceae.g__actinomyces.s__actinomyces_sp_hmsc035g02,0.0012387601
k__bacteria.p__actinobacteria.c__actinobacteria.o__actinomycetales.f__actinomycetaceae,0.0012319558
k__bacteria.p__proteobacteria.c__gammaproteobacteria.o__legionellales.f__coxiellaceae.g__rickettsiella,0.0012141195
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__clostridiales_unclassified.g__lawsonibacter,0.0012125657
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__peptostreptococcaceae.g__peptostreptococcus.s__peptostreptococcus_stomatis,0.0012125509
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.f__lachnospiraceae.g__anaerostipes,0.0012061944
k__bacteria.p__firmicutes.c__bacilli.o__lactobacillales.f__lactobacillaceae.g__lactobacillus.s__lactobacillus_senmaizukei,0.0012000906
k__bacteria.p__actinobacteria.c__actinobacteria.o__propionibacteriales.f__propionibacteriaceae.g__cutibacterium.s__cutibacterium_acnes,0.0011870309
k__bacteria.p__actinobacteria.c__actinobacteria.o__actinomycetales.f__actinomycetaceae.g__actinomyces.s__actinomyces_sp_s6_spd3,0.0011798331
k__bacteria.p__actinobacteria.c__actinobacteria.o__actinomycetales.f__actinomycetaceae.g__actinomyces.s__actinomyces_sp_icm47,0.0011770634
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.g__skunavirus.s__skunavirus_r31,0.0011708258
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.f__drexlerviridae.g__warwickvirus.s__warwickvirus_slur29,0.0011553987
k__bacteria.p__proteobacteria.c__gammaproteobacteria.o__pasteurellales.f__pasteurellaceae.g__haemophilus.s__haemophilus_paraphrohaemolyticus,0.001141143
k__bacteria.p__bacteroidota.c__flavobacteriia,0.0011373428
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.f__lachnospiraceae,0.0011371261
k__bacteria.p__bacteroidetes.c__bacteroidia,0.0011281639
k__bacteria.p__bacteroidetes.c__bacteroidia.o__bacteroidales.f__prevotellaceae.g__prevotella.s__prevotella_melaninogenica,0.0011252208
k__eukaryota.p__eukaryota_unclassified.c__eukaryota_unclassified.o__eukaryota_unclassified.f__eukaryota_unclassified.g__blastocystis.s__blastocystis_sp_subtype_1,0.0010677825
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__clostridiales_family_xiii_incertae_sedis.g__mogibacterium,0.0010475721
k__eukaryota.p__eukaryota_unclassified.c__eukaryota_unclassified.o__eukaryota_unclassified.f__eukaryota_unclassified.g__blastocystis,0.0010359843
k__bacteria.p__bacteroidetes.c__bacteroidia.o__bacteroidales.f__prevotellaceae.g__prevotella.s__prevotella_stercorea,0.0010306382
k__bacteria.p__actinobacteria.c__actinobacteria.o__actinomycetales,0.0010271808
k__bacteria.p__bacteroidetes.c__bacteroidia.o__bacteroidales.f__odoribacteraceae.g__odoribacter,0.0010164728
k__bacteria.p__proteobacteria.c__gammaproteobacteria.o__enterobacterales.f__enterobacteriaceae.g__candidatus_gullanella.s__candidatus_gullanella_endobia,0.0010017303
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.f__lachnospiraceae.g__faecalicatena.s__faecalicatena_sp,0.0009858719
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.g__skunavirus.s__skunavirus_p680,0.0009828948
k__archaea.p__euryarchaeota.c__methanobacteria.o__methanobacteriales.f__methanobacteriaceae.g__methanobacterium.s__methanobacterium_sp_mb1,0.0009820879
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.f__autographiviridae.g__przondovirus.s__przondovirus_kp1,0.0009553605
k__bacteria.p__bacteroidetes.c__bacteroidia.o__bacteroidales.f__bacteroidaceae.g__bacteroides.s__bacteroides_sp_3_2_5,0.00095326203
